Name,Total,W1,W2,W3,W4,W5,W6
Gimmick,1334,426,528,380,-,-,-
SquishyMuffinz,1230,407,416,407,-,-,-
Torment,1229,376,389,464,-,-,-
Deevo,1171,363,465,343,-,-,-
Tylacto,1095,316,426,353,-,-,-
Greazy,1095,380,368,347,-,-,-
Sea-Bass,1063,291,392,380,-,-,-
Allushin,1049,331,337,381,-,-,-
TyNotTyler,1049,315,351,383,-,-,-
Nielskoek,1046,-,455,591,-,-,-
Flame,1029,436,305,288,-,-,-
Fairy Peak,1025,473,-,552,-,-,-
Remkoe,1018,321,351,346,-,-,-
Chausette45,975,498,-,477,-,-,-
Bluey,940,407,-,533,-,-,-
Mognus,936,571,365,-,-,-,-
Express,931,-,463,468,-,-,-
Jknaps,927,503,-,424,-,-,-
Freakii,915,434,-,481,-,-,-
Shadey,908,-,491,417,-,-,-
Montyconnor,886,-,535,351,-,-,-
Insolences,882,455,427,-,-,-,-
Kira,881,-,386,495,-,-,-
ViolentPanda,872,400,472,-,-,-,-
GarrettG,867,460,407,-,-,-,-
Klassux,852,-,493,359,-,-,-
Plitz,852,-,351,501,-,-,-
Torsos,846,-,411,435,-,-,-
Kamii,836,-,330,506,-,-,-
Paschy90,835,516,-,319,-,-,-
Walcott,827,-,441,386,-,-,-
Continuum,824,284,270,270,-,-,-
Ferra,817,371,-,446,-,-,-
Dumbo,805,-,284,521,-,-,-
Sizz,800,451,349,-,-,-,-
Timi,799,376,-,423,-,-,-
CorruptedG,783,-,334,449,-,-,-
Kaydop,782,342,440,-,-,-,-
Lethamyr,778,-,353,425,-,-,-
Matt,773,461,312,-,-,-,-
Al0t,763,421,342,-,-,-,-
Turbopolsa,757,402,355,-,-,-,-
Zensuz,753,-,417,336,-,-,-
Kronovi,744,358,-,386,-,-,-
Fireburner,743,417,326,-,-,-,-
Cyrix,739,-,252,487,-,-,-
Rizzo,733,335,-,398,-,-,-
Kia,732,-,343,389,-,-,-
Metsanauris,732,341,391,-,-,-,-
Jacob,721,405,316,-,-,-,-
Soma,717,-,401,316,-,-,-
Markydooda,710,-,398,312,-,-,-
Outlast,708,-,326,382,-,-,-
Siki,707,-,316,391,-,-,-
Kuxir97,706,-,375,331,-,-,-
Miztik,701,-,388,313,-,-,-
Ellusive,695,-,344,351,-,-,-
Pwndx,688,-,278,410,-,-,-
Hectic,653,-,365,288,-,-,-
Chrome,653,-,253,400,-,-,-
Addzey,648,-,318,330,-,-,-
Slurpee,637,-,405,232,-,-,-
Moses,633,343,-,290,-,-,-
Drippay,631,-,348,283,-,-,-
Dappur,629,222,-,407,-,-,-
Jake,629,-,268,361,-,-,-
Zanejackey,622,-,386,236,-,-,-
Sadjunior,595,-,285,310,-,-,-
Zest,512,-,253,259,-,-,-
CJCJ,457,-,-,457,-,-,-
Zen,417,-,417,-,-,-,-
Daisu,390,-,390,-,-,-,-
Reggles,349,-,-,349,-,-,-
Penor,345,-,-,345,-,-,-
Noizees,310,-,310,-,-,-,-
Requiem,261,-,261,-,-,-,-
Julz,250,-,250,-,-,-,-
blueze,193,-,-,193,-,-,-
Sniper,,-,-,-,-,-,-
Napp,,-,-,-,-,-,-
Turtle,,-,-,-,-,-,-
Red,,-,-,-,-,-,-
DudeWithTheNose,,-,-,-,-,-,-
Erlunc,,-,-,-,-,-,-
Jhzer,,-,-,-,-,-,-
Blaze,,-,-,-,-,-,-
Mout,,-,-,-,-,-,-
Pepiope,,-,-,-,-,-,-
Masterio,,-,-,-,-,-,-
Yukeo,,-,-,-,-,-,-
Mijo,,-,-,-,-,-,-
PetricK,,-,-,-,-,-,-
Enigma,,-,-,-,-,-,-
Bango,,-,-,-,-,-,-
Dogu,,-,-,-,-,-,-
Triggsy,,-,-,-,-,-,-
aoe_emp,,-,-,-,-,-,-
