Name,Cost,Avg Score/Gm,Value
Fairy Peak,675.0,512.5,0.7592592592592593
Chausette45,675.0,487.5,0.7222222222222222
Nielskoek,725.0,523.0,0.7213793103448276
Daisu,550.0,390.0,0.7090909090909091
Walcott,600.0,413.5,0.6891666666666667
Gimmick,675.0,444.6666666666667,0.6587654320987655
Shadey,700.0,454.0,0.6485714285714286
Paschy90,650.0,417.5,0.6423076923076924
Zen,650.0,417.0,0.6415384615384615
Timi,625.0,399.5,0.6392
Reggles,550.0,349.0,0.6345454545454545
Klassux,675.0,426.0,0.6311111111111111
Plitz,675.0,426.0,0.6311111111111111
Penor,550.0,345.0,0.6272727272727273
Bluey,750.0,470.0,0.6266666666666667
Express,750.0,465.5,0.6206666666666667
Sea-Bass,575.0,354.3333333333333,0.616231884057971
Montyconnor,725.0,443.0,0.6110344827586207
CJCJ,750.0,457.0,0.6093333333333333
Tylacto,600.0,365.0,0.6083333333333333
Allushin,575.0,349.6666666666667,0.6081159420289856
Kira,725.0,440.5,0.6075862068965517
Jknaps,775.0,463.5,0.5980645161290322
Dumbo,675.0,402.5,0.5962962962962963
Sizz,675.0,400.0,0.5925925925925926
Cyrix,625.0,369.5,0.5912
Freakii,775.0,457.5,0.5903225806451613
Insolences,750.0,441.0,0.588
Al0t,650.0,381.5,0.5869230769230769
Mognus,800.0,468.0,0.585
TyNotTyler,600.0,349.6666666666667,0.5827777777777778
Zensuz,650.0,376.5,0.5792307692307692
Flame,600.0,343.0,0.5716666666666667
Ferra,725.0,408.5,0.5634482758620689
ViolentPanda,775.0,436.0,0.5625806451612904
GarrettG,775.0,433.5,0.5593548387096774
CorruptedG,700.0,391.5,0.5592857142857143
Ellusive,625.0,347.5,0.556
Lethamyr,700.0,389.0,0.5557142857142857
Slurpee,575.0,318.5,0.5539130434782609
Hectic,600.0,326.5,0.5441666666666667
Kia,675.0,366.0,0.5422222222222223
Metsanauris,675.0,366.0,0.5422222222222223
Zanejackey,575.0,311.0,0.5408695652173913
Kamii,775.0,418.0,0.5393548387096774
Kronovi,700.0,372.0,0.5314285714285715
SquishyMuffinz,775.0,410.0,0.5290322580645161
Torsos,800.0,423.0,0.52875
Rizzo,700.0,366.5,0.5235714285714286
Fireburner,725.0,371.5,0.5124137931034483
Soma,700.0,358.5,0.5121428571428571
Torment,800.0,409.6666666666667,0.5120833333333333
Addzey,650.0,324.0,0.49846153846153846
Sadjunior,600.0,297.5,0.49583333333333335
Deevo,800.0,390.3333333333333,0.48791666666666667
Moses,650.0,316.5,0.4869230769230769
Greazy,750.0,365.0,0.4866666666666667
Continuum,575.0,274.6666666666667,0.4776811594202899
Requiem,550.0,261.0,0.47454545454545455
Markydooda,750.0,355.0,0.47333333333333333
Matt,825.0,386.5,0.4684848484848485
Miztik,750.0,350.5,0.4673333333333333
Chrome,700.0,326.5,0.4664285714285714
Noizees,675.0,310.0,0.45925925925925926
Turbopolsa,825.0,378.5,0.4587878787878788
Outlast,775.0,354.0,0.4567741935483871
Julz,550.0,250.0,0.45454545454545453
Dappur,700.0,314.5,0.4492857142857143
Kaydop,875.0,391.0,0.44685714285714284
Pwndx,775.0,344.0,0.44387096774193546
Siki,800.0,353.5,0.441875
Remkoe,775.0,339.3333333333333,0.43784946236559136
Jacob,825.0,360.5,0.43696969696969695
Kuxir97,825.0,353.0,0.42787878787878786
Jake,750.0,314.5,0.41933333333333334
Zest,650.0,256.0,0.39384615384615385
Drippay,875.0,315.5,0.3605714285714286
blueze,550.0,193.0,0.3509090909090909
Sniper,550.0,0,0.0
Napp,550.0,0,0.0
Turtle,550.0,0,0.0
Red,550.0,0,0.0
DudeWithTheNose,550.0,0,0.0
Erlunc,550.0,0,0.0
Jhzer,550.0,0,0.0
Blaze,550.0,0,0.0
Mout,550.0,0,0.0
Pepiope,550.0,0,0.0
Masterio,550.0,0,0.0
Yukeo,550.0,0,0.0
Mijo,550.0,0,0.0
PetricK,550.0,0,0.0
Enigma,550.0,0,0.0
Bango,550.0,0,0.0
Dogu,550.0,0,0.0
Triggsy,550.0,0,0.0
aoe_emp,550.0,0,0.0
